xpos,ypos,xvel,yvel
11.606,-5.5041,190.48,11.722
62.687,-1.8586,509.59,27.102
92.991,-3.3111,254.72,-1.9656
74.14,-5.9794,-112.28,-35.406
0.90197,0.99071,-34.64,15.176
-11.1,-1.3731,-54.192,-52.053
-16.67,-6.4793,-82.071,-29.086
-17.649,-8.8971,-7.1507,-4.5664
-13.308,-9.7084,24.667,-22.186
-6.8755,-8.5458,49.795,-10.332
2.9512,-5.7519,37.257,20.779
-0.55397,-0.24464,-22.37,-9.2223
-4.3386,1.2988,8.9574,10.146
-5.4227,-8.2026,20.327,-71.015
-6.6502,-14.23,-19.202,56.861
-13.522,-5.582,-49.404,63.589
-15.495,-2.3226,2.4516,8.2749
-16.96,-4.5315,-41.336,-5.168
-22.961,-3.9872,-65.969,23.053
-16.988,-5.4907,65.153,-1.1184
-11.872,-8.1104,16.303,2.3651
-12.519,-9.9166,-24.587,-27.527
-2.6377,-15.726,123.17,-69.188
30.368,-30.463,281.23,-243.29
47.962,-67.02,203.05,-316.52
52.418,-81.216,105.24,-107.83
47.856,-77.731,42.468,-14.097
1.7944,-12.253,5.8988,49.497
-6.8876,1.2421,-15.812,1.2554
-8.0784,0.20969,-7.5092,-21.26
-10.98,-1.7924,-40.514,-2.0786
-18.658,-0.34404,-52.992,16.671
-14.818,-1.04,13.576,-24.06
-10.356,-4.7324,19.709,-24.235
-3.5867,-7.946,27.989,4.6648
8.8233,-8.4921,77.985,20.577
-3.4537,1.898,-73.25,63.556
-11.418,1.8074,-84.964,16.755
-19.909,1.5011,-27.405,24.798
-25.647,3.0107,-24.128,32.09
-19.26,3.4148,38.94,35.515
-6.8171,-0.77577,35.676,-30.44
-4.6291,-1.0792,25.779,1.6867
-6.2685,0.655,-38.178,33.781
-10.756,1.4925,-52.849,13.619
-7.7348,-0.45646,-27.244,-44.813
-45.714,2.8828,-389.6,77.889
-93.42,7.7002,-412.68,101.59
-110.09,-2.2094,-146.73,-23.448
-104.08,-7.4393,20.526,-49.036
-22.404,8.1527,24.068,52.612
-20.066,23.578,-12.138,39.695
-17.103,21.298,25.318,-4.1965
-19.314,14.194,-7.7028,-43.961
-16.576,2.9168,28.366,-61.978
-10.976,-4.5113,12.585,-33.866
-3.4927,-13.574,-18.184,-27.681
3.1134,-13.643,41.585,-8.8132
8.4971,-17.324,47.737,-33.439
0.31947,-15.504,-69.438,1.5651
